,Frquent words
0,"months, engineering, delhi, march, reliability"
1,"development, science, learn, technologies, months"
2,"months, open, source, google, delhi"
3,"amazon, appario, grocery, management, pc"
4,"months, matter, supply, page, com"
5,"content, computer, science, engineering, programming"
6,"months, area, amazon, development, january"
7,"iiit, pytorch, vision, learning, months"
8,"data, learning, deep, using, python"
9,"developer, js, web, basic, girl"
10,"pesto, new, months, people, code"
11,"months, learning, concepts, using, mongodb"
12,"stack, full, months, intern, facebook"
13,"reality, months, com, linkedin, augmented"
14,"learning, deep, months, data, machine"
15,"months, years, learning, present, august"
16,"jalandhar, months, institute, national, indian"
17,"institute, engineering, contact, nikhil, noida"
18,"area, months, bengaluru, stack, engineering"
19,"vision, computer, learning, mallick, big"
20,"year, development, months, portal, java"
21,"interest, programming, mukul, cs, undergrad"
22,"mobile, education, paytm, also, delhi"
23,"data, analyst, business, consulting, years"
24,"tech, stack, app, months, react"
25,"niharika, linkedin, months, microsoft, technology"
26,"institute, engineering, technology, contact, mohit"
27,"asia, icpc, months, anurag, research"
28,"months, data, learning, niyo, science"
29,"months, machine, data, engineer, professional"
30,"india, community, learning, marketing, media"
31,"months, com, sydney, datawithdanny, year"
32,"months, data, learning, deep, page"
33,"delhi, pepcoding, years, months, area"
34,"learning, technology, months, hyderabad, area"
35,"learning, months, science, development, delhi"
36,"science, priyanshu, data, linkedin, contact"
37,"learning, months, ai, machine, data"
38,"years, year, integration, time, team"
39,"science, suryansh, linkedin, engineering, contact"
40,"data, learning, science, scientist, machine"
41,"contact, satyaarth, linkedin, experiencetop, skillsweb"
42,"learning, machine, months, area, models"
43,"data, learning, machine, science, analytics"
44,"professional, learning, working, hackathon, months"
45,"learning, years, software, hyderabad, present"
46,"hyderabad, software, months, based, year"
47,"learning, months, area, science, university"
48,"institute, engineering, programming, language, contact"
49,"ai, allincall, mumbai, area, page"
50,"research, ai, work, months, also"
